dish_id,actual_ingredients,predicted_ingredients,actual_cal,pred_cal,cal_error,actual_fat,pred_fat,fat_error,actual_carb,pred_carb,carb_error,actual_prot,pred_prot,prot_error
dish_1558031302,potatoes,,57,63,6,0.1,1.5,1.5,12.6,13.2,0.6,1.5,0.8,0.6
dish_1560368464,olive oil; brown rice; vinegar; cherry tomatoes; honeydew melons; shallots; parsley; basil; lemon juice; onions; pork; pepper; garlic; broccoli; salt,olive oil; salt,349,176,174,18.1,7.9,10.2,16.8,18.5,1.7,29.1,9.8,19.3
dish_1563551194,olive oil; sweet potato; egg whites; bagels; greek yogurt; chia seeds; milk; cream cheese,olive oil; salt,472,399,72,14,20.3,6.3,57.7,27.8,29.8,27.8,29.5,1.7
dish_1559849412,almonds,almonds,353,297,56,30.2,15.6,14.6,13.8,23.3,9.5,13.7,19.3,5.6
dish_1560801773,cauliflower,,14,52,39,0.2,2.2,2,2.7,6.8,4.1,1,2,1.1
dish_1566502573,chive; bok choy; chicken; white rice; pork; arugula; spinach (raw); brown rice; chard; mustard; olive oil; garlic; cucumbers; sugar; rosemary; pepper; sun dried tomatoes; lemon juice; mustard greens; parsley; vinegar; corn on the cob; basil; onions; carrot; soy sauce; salt; chickpeas,olive oil; salt; garlic; pepper; vinegar,822,587,234,43.2,31.8,11.4,60.7,33.1,27.6,51.2,46.6,4.5
dish_1568401261,salt; squash; carrot; avocado; tuna salad; olive oil,olive oil; salt; garlic; pepper,530,422,109,26.4,22.8,3.5,34.6,24.2,10.3,39.1,33,6.1
dish_1558461431,spinach (raw),,1,18,17,0,0.7,0.7,0.2,2.7,2.5,0.1,0.5,0.4
dish_1562790824,salt; bell peppers; garlic; mustard; cucumbers; olive oil; vinegar; country rice; onions; green onions; fish; radishes,salt; olive oil; garlic; vinegar; pepper,437,366,71,49.8,20.1,29.7,19.3,20.8,1.5,49.9,28.4,21.5
dish_1558718610,corn on the cob,,114,87,27,2.6,2.6,0.1,23.5,15.7,7.9,3.3,1.9,1.4
dish_1560975517,broccoli; caesar salad,olive oil; salt; garlic,42,171,129,1.9,8.7,6.8,4.6,13.3,8.6,3.1,11.4,8.4
dish_1558639787,cauliflower,cauliflower,25,31,6,0.3,0.9,0.6,4.9,5.5,0.6,1.8,0.8,1
dish_1560203424,pepperoni pizza; brownies,salt; olive oil; cheese pizza,452,417,34,22.3,21.5,0.7,50.2,29.8,20.5,14.6,30.1,15.5
dish_1562776497,pepper; olive oil; brussels sprouts; sweet potato; scrambled eggs; salt,olive oil; salt,292,333,41,13.2,17.3,4.1,32.8,23,9.7,11.6,24.2,12.5
dish_1560444869,honeydew melons,,14,40,25,0,1.6,1.6,3.5,5.6,2.1,0.2,1.3,1.1
dish_1564773903,cherry tomatoes; lentils; salmon; arugula; pineapple; parsley; kale; olive oil; shallots; pepper; pickles; salt; mayonnaise; lemon juice; broccoli; garlic; chive,olive oil; salt,317,275,42,16.1,13.4,2.7,25.1,24.1,1,19.6,17.8,1.8
dish_1561661347,green beans; caesar salad,olive oil; salt; garlic; pepper,51,226,176,1.6,11.8,10.2,7.2,16.2,9,3.4,15.8,12.4
dish_1558722247,almonds; cauliflower; apple,almonds,605,455,149,43.2,23,20.2,46.8,36.3,10.5,21.5,30.9,9.4
dish_1565811091,broccoli; spinach (raw); carrot; chicken; goat cheese,olive oil; salt; olives; cherry tomatoes; mixed greens,504,486,19,17.6,26.6,9,9.1,24.9,15.8,74.7,39.9,34.8
dish_1557861216,plate only,,0,36,36,0,1.5,1.5,0,5,5,0,1.2,1.2
dish_1563220987,olive oil; arugula; pork; salt; onions; parsley; zucchini; rosemary; garlic; white rice,olive oil; salt; garlic; pepper,225,244,19,12.5,13,0.6,4.1,16.3,12.2,22.5,17.4,5.1
dish_1563984140,egg whites,egg whites; cauliflower,245,237,9,0.9,12.5,11.5,3.3,14.7,11.4,47.2,18.3,28.9
dish_1562774099,raspberries; vinaigrette; mixed greens; granola; blackberries,olive oil; salt; vinegar; garlic; mustard,52,47,5,2.8,2.2,0.6,6.2,5.4,0.8,1.3,2.2,0.9
dish_1560444892,honeydew melons; pineapple,,40,25,15,0.1,0.1,0,10.1,6.9,3.3,0.4,0,0.5
dish_1561662814,olive oil; salt; lemon juice; onions; parsley; mixed greens; apple; millet; vinegar,olive oil; salt; garlic,23,51,27,1.9,2,0.1,1.5,7.2,5.7,0.4,1.8,1.4
dish_1558549413,almonds,almonds,682,614,69,58.4,33.7,24.7,26.8,36.6,9.8,26.4,46.7,20.3
dish_1561574368,caesar salad,salt; olive oil; garlic,22,47,25,1,2.1,1.1,2.2,5.7,3.6,1.6,2,0.4
dish_1567007751,berries; cantaloupe,,40,65,25,0.2,1.5,1.2,9.7,13.8,4.2,0.7,0.8,0.2
dish_1558373159,sausage; deprecated; almonds,almonds,1013,585,429,79.1,30.7,48.5,30.5,41.3,10.8,60.6,41.8,18.8
dish_1557862738,steak,salt; olive oil; garlic; onions; pepper,320,224,96,22.4,11.8,10.6,0,15.7,15.7,29.5,15.4,14.1
dish_1560444948,cucumbers; watermelon; pineapple; scrambled eggs; radishes; salt; garlic; honeydew melons; olive oil; bell peppers; mustard; vinegar,olive oil; salt,171,170,1,10,7.6,2.5,17.6,19,1.4,4.6,8.9,4.3
dish_1560367952,fish; spinach (raw); pizza; onions; country rice; olive oil; salt; garlic; green onions,salt; olive oil; vinegar; garlic; spinach (raw),415,181,233,21.1,9.1,11.9,46,14.8,31.2,24.9,11.5,13.4
dish_1568401302,fried rice; salt; squash; carrot; avocado; olive oil; tuna salad,olive oil; salt; garlic; pepper; lemon juice,716,572,144,28.9,31.7,2.8,69.9,28.6,41.3,44.7,47.1,2.4
dish_1558630288,garden salad,olive oil,7,36,29,0.4,1.5,1.2,0.4,4.8,4.5,0.7,1.3,0.7
dish_1563998513,chicken; pepper; cookies; brown rice; arugula; vinegar; oregano; tatsoi; olive oil; basil; cilantro; white wine; salt; roasted potatoes; garlic; shallots; cauliflower; mushroom; steak; jalapenos; cream; wheat berry; thyme; butter; rosemary; lemon juice; parsley,olive oil; salt; garlic; lemon juice; onions,758,552,205,38.7,30.5,8.3,51.6,28.1,23.4,54.2,45.1,9.2
dish_1558544663,oatmeal,,141,197,56,2.9,10.1,7.1,25,16.5,8.4,5,12.4,7.4
dish_1562691064,berries; fried rice; olive oil; pineapple; scrambled eggs; roasted potatoes; broccoli,olive oil; salt; garlic; pepper; lemon juice,555,510,45,23.9,27.9,3.9,64.8,27.6,37.1,22,41.1,19.1
dish_1559233715,sweet potato,,84,82,1,0,3,3,19.8,12.9,6.9,1.1,2.4,1.3
dish_1566328724,chicken,olive oil,276,248,27,6,13.1,7.1,0,17.3,17.3,51.8,17.5,34.3
dish_1559842047,broccoli; pears; mandarin oranges,,154,140,14,0.5,4.9,4.4,39.5,21.7,17.9,2,4.7,2.7
dish_1560975572,caesar salad; wheat berry; broccoli,olive oil; salt; garlic; pepper; lemon juice,97,250,153,2.2,12.9,10.8,16.1,17.3,1.2,5.6,18,12.4
dish_1566328776,chicken; cherry tomatoes; pizza,olive oil; salt,902,749,153,28.7,40.2,11.5,78.3,42.6,35.7,77.7,59.9,17.8
dish_1566316681,sweet potato; olive oil,olive oil,117,100,17,3,4.2,1.2,21.4,12.6,8.8,1.2,4.4,3.2
dish_1564687090,fish; millet; white rice; ketchup; steak; spinach (raw); jalapenos; onions; wheat berry; olive oil; bell peppers; cilantro; vinegar; kale; green beans; lime; shallots; salt,salt; olive oil; garlic; onions; pepper,498,617,119,32.7,34.2,1.4,40.5,31.8,8.7,38.1,50.1,12
dish_1565894910,pizza; cheese pizza; cookies,cheese pizza,537,403,134,21.4,19.8,1.6,67.9,33.1,34.9,18.2,27.6,9.4
dish_1561654326,vinaigrette; granola; blackberries; mixed greens; raspberries,salt; olive oil; vinegar; garlic; mustard,60,89,29,3.2,4.2,1,7.1,9.2,2.1,1.5,4.4,2.9
dish_1565974375,bacon,olive oil; bacon; salt,460,382,78,35.7,21.2,14.5,1.2,20,18.8,31.5,30.3,1.1
dish_1560368506,brown rice; fish; shallots; honeydew melons; broccoli; lemon juice; parsley; pork; vinegar; cherry tomatoes; pepper; garlic; salt; country rice; basil; olive oil; onions; green onions,olive oil; salt; garlic; pepper; lemon juice,463,406,57,31.3,21.4,9.8,22.4,25.9,3.6,44.6,30.8,13.8
dish_1562085672,bread,olive oil; salt; garlic,122,274,152,1.9,14.3,12.4,19.5,19.2,0.3,6.2,19.8,13.6
dish_1561148042,raspberries; ground turkey; cream; green beans; celery; chard; garlic; zucchini; almonds; olive oil; carrot; thyme; kale; salt; white rice; eggs; blueberries; mustard; arugula; vinegar; mushroom; onions; cheese pizza; chive,salt; olive oil; garlic; vinegar; onions,371,392,21,20,20.8,0.9,25.6,24.2,1.4,22.7,29.9,7.2
dish_1566328831,pizza; cherry tomatoes; chicken; pineapple; olives,olive oil; salt,942,766,176,30,41,10.9,85.8,44.1,41.7,78.1,61.2,16.8
dish_1558461692,almonds,almonds,231,138,93,19.8,6.7,13.1,9.1,15.2,6.1,9,6.5,2.5
dish_1565035715,onions,olive oil; salt,16,34,19,0,1.4,1.4,3.5,4.7,1.2,0.4,1.2,0.8
dish_1566590056,tomatoes; pepper; millet; vinegar; tofu; jalapenos; mustard; olive oil; bell peppers; cherry tomatoes; chicken; chard; spinach (raw); pizza; cucumbers; onions; garlic; salt; figs,salt; olive oil; garlic; onions; lemon juice,816,663,153,34.7,36.3,1.6,63.9,35,28.9,62.9,53.7,9.3
dish_1566590007,bell peppers; garlic; tomatoes; salt; onions; olive oil; pizza; pepper; tofu; jalapenos; spinach (raw); chicken; millet,salt; olive oil; garlic; lemon juice; onions,741,623,118,29.2,33.9,4.7,58,33.6,24.3,61.8,50.2,11.6
dish_1558635400,cauliflower,cauliflower,25,13,12,0.3,0.5,0.2,5,1.9,3.1,1.8,0.5,1.3
dish_1557937335,yam,,47,43,4,0.1,1.3,1.2,11.2,8,3.2,0.6,0.8,0.2
dish_1564428144,garlic; shallots; parsley; salt; mustard; pecans; thyme; olive oil; blueberries; arugula; vinegar; chard; lemon juice; quinoa,salt; olive oil; garlic; vinegar; pepper,205,207,2,14.1,10.6,3.4,16.7,16.5,0.2,5.1,13.4,8.2
dish_1558635618,corn on the cob; apple; white rice; cauliflower,,220,221,1,2.4,9.4,6.9,49.7,25.6,24.1,5.6,11.5,5.9
dish_1565034635,cherry tomatoes; vinegar; chard; blueberries; cucumbers; salt; lettuce; walnuts; lime; pepper; arugula; olive oil; mustard; onions; mixed greens,olive oil; salt; vinegar; garlic; mustard,124,132,8,11.8,6.3,5.4,4.3,14,9.7,2.1,6.3,4.2
dish_1566328805,cherry tomatoes; pizza; chicken; pineapple,olive oil; salt,928,795,132,28.7,42.6,13.8,85.1,45.8,39.2,78,63.4,14.5
dish_1565974409,chicken apple sausage; bacon,olive oil; bacon; salt,689,458,231,50,25.6,24.4,5.5,23,17.5,51.5,37,14.5
dish_1563478751,cream; mushroom; spinach (raw); olive oil; pasta; beef; wine; garlic; sour cream; onions; thyme; salt,olive oil; salt; garlic; onions; vinegar,950,615,335,45.3,34.4,10.9,54.1,29.5,24.7,74.8,50.9,23.9
dish_1564773876,cherry tomatoes; pepper; salmon; lentils; lemon juice; parsley; chive; broccoli; pickles; mayonnaise; kale; arugula; olive oil; salt; garlic; shallots,olive oil; salt; garlic,258,102,156,16,4.6,11.4,9.9,11.5,1.6,19,4.9,14.1
dish_1561148021,garlic; mushroom; chard; chive; olive oil; onions; raspberries; mustard; salt; cheese pizza; kale; white rice; eggs; cream; vinegar; arugula; thyme; blueberries; almonds; zucchini; ground turkey; celery; carrot,salt; olive oil; garlic; onions; lemon juice,362,341,20,19.9,17.8,2.1,23.6,22.7,0.9,22.2,25.3,3.1
dish_1558030435,honeydew melons; potatoes; bacon,cantaloupe,247,223,24,11.1,10,1.1,25,23.8,1.2,11.9,12.4,0.5
dish_1562617939,chickpeas; salt; mustard greens; olive oil; parsley; vinegar; arugula; pepper,olive oil; salt; vinegar; garlic; mustard,235,106,129,14.6,5.2,9.5,20.4,10.5,9.9,7.2,5.4,1.8
dish_1563208459,raspberries; yam; sweet potato; olive oil; chicken apple sausage,,186,348,161,8,17.4,9.4,22.5,28.6,6.1,6.9,22.8,15.9
dish_1563389626,salt; pepper; grilled chicken; carrot; olive oil; cherry tomatoes,,499,78,421,30.2,3.6,26.6,12.4,8.5,3.9,45.3,3.7,41.6
dish_1566316757,sweet potato; egg whites; olive oil; salsa,olive oil; salt,448,454,6,4.4,24.1,19.7,34.2,27,7.2,59.5,35.7,23.8
dish_1558641320,apple; carrot; corn on the cob; cherry tomatoes,,212,144,67,3.1,4.4,1.4,49.1,24.9,24.2,4.5,4.1,0.4
dish_1563909469,tomatoes; spinach (raw); vinegar; cucumbers; olive oil; mustard greens; mustard; garlic; salt,olive oil; salt; vinegar; garlic,72,49,23,6.9,2.2,4.7,2.2,5.6,3.4,1.4,2.2,0.8
dish_1566850099,onions; cucumbers; olive oil; salt; mixed greens; lettuce; lime; cherry tomatoes; pepper; vinegar,olive oil; salt; vinegar; garlic; mustard,113,107,6,10.7,5.1,5.6,4.1,11.2,7.1,1.5,5.2,3.7
dish_1558549605,white rice,,98,91,6,0.2,4.2,4,21,9.9,11.1,2,4.6,2.6
dish_1561578865,cheese; pasta; spinach (raw); olive oil; blueberries; salt; broccoli; pesto; vinegar; cherry tomatoes; pepper; arugula; chard; onions; mustard; cheese pizza; walnuts,salt; olive oil; garlic; vinegar; onions,417,411,6,17.3,21.2,3.9,49.7,28.8,20.9,16.7,30,13.2
dish_1561574428,walnuts; caesar salad; salt; mustard; olive oil; blueberries; chard; arugula; vinegar; pepper; cauliflower,salt; olive oil; garlic; pepper; onions,84,118,34,5.1,4.8,0.3,7.9,14.4,6.4,4,5.5,1.6
dish_1562786103,frozen yogurt,,93,232,139,3.4,11.4,8,14,23.4,9.4,2.3,12.1,9.7
dish_1566587102,chicken; millet; pepper; spinach (raw); jalapenos; olive oil; garlic; onions; salt; tomatoes; bell peppers,olive oil; salt; garlic; pepper; lemon juice,214,255,41,7.5,13.5,6,8.1,17.9,9.8,27.1,17.7,9.5
dish_1566502437,vinegar; spinach (raw); sun dried tomatoes; garlic; onions; cucumbers; mustard; salt; olive oil,olive oil; salt; vinegar; garlic; mustard,75,46,28,6.4,2.1,4.3,3.8,5.5,1.7,1.7,2,0.2
dish_1560367980,asparagus; salt; onions; country rice; olive oil; green onions; pizza; spinach (raw); fish; garlic,salt; olive oil; garlic; vinegar; onions,421,292,129,21.1,15.6,5.5,47.2,18.1,29.1,25.7,21.9,3.7
dish_1565711570,salt; pepper; brussels sprouts; scrambled eggs; olive oil; hash browns; bacon,olive oil; salt; garlic; pepper; onions,604,502,101,41.3,27.7,13.6,34.2,25.9,8.3,26.6,41,14.3
dish_1558639876,carrot; cantaloupe; cauliflower,,68,158,90,0.5,5.8,5.3,15.4,22.2,6.8,2.8,6.7,4
dish_1566838378,scrambled eggs; watermelon; berries; pineapple,sweet potato,286,325,39,8,15.9,7.9,49.1,27,22.1,9,22.2,13.2
dish_1557937037,raspberries,,26,44,18,0.3,1.3,1,5.9,8.3,2.4,0.6,0.8,0.2
dish_1562008936,caesar salad,olive oil; salt; garlic; pepper,58,140,82,2.8,6.9,4.2,5.6,12.7,7.1,4.2,7.9,3.7
dish_1558376364,grapes,,49,40,9,0.1,1.1,1,12.8,7.9,4.9,0.5,0.6,0.1
dish_1560801041,pork; zucchini; arugula; chicken breast; cherry tomatoes; rosemary; lemon juice; thyme; olive oil; onions; wheat berry; parmesan cheese; pepper; spinach (raw); cauliflower; garlic; chickpeas; white rice; salt; bulgur; parsley; kale,olive oil; salt; garlic; vinegar; pepper,432,420,12,10.7,23,12.3,63.2,23,40.2,25.7,33.4,7.8
dish_1563897047,egg whites,,66,192,126,0.3,8.6,8.4,0.9,21.2,20.4,12.7,9.5,3.2
dish_1560526552,salt; sausage; pineapple; blueberries; spinach (raw); parsley; mustard greens; potatoes; berries; tomatoes; scrambled eggs; vinegar; mustard; cucumbers; almonds; olive oil; garlic; carrot,olive oil; salt; garlic; vinegar; pepper,359,461,102,21.8,23.8,2,28,32.1,4,14.6,33.7,19.1
dish_1562703408,onions; spinach (cooked); shallots; berries; salt; pizza; olive oil; vinegar; bok choy; millet; beef,olive oil; salt,311,319,8,12,15.7,3.7,32.8,27.1,5.7,17.4,20.6,3.2
dish_1562172600,egg whites; roasted potatoes,egg whites; sweet potato; olive oil,264,269,5,6,14,8,16.4,18.1,1.7,30.7,20,10.7
dish_1561574783,salt; mustard; blueberries; pepper; arugula; chard; vinegar; olive oil; walnuts,salt; olive oil; vinegar; garlic; arugula,30,57,27,2.8,2.6,0.2,1,6.5,5.5,0.6,2.6,2
dish_1560444985,honeydew melons; pineapple; radishes; bok choy; vinegar; watermelon; yam; mustard; olive oil; cucumbers; garlic; bell peppers; salt; scrambled eggs,olive oil,199,204,5,10.1,9.2,0.9,24.1,21.1,3,5.1,11.7,6.6
dish_1565035858,cherry tomatoes; chicken breast; watermelon; bell peppers; cauliflower; onions,olive oil,375,416,41,6.7,22.4,15.7,23.7,24.4,0.7,55.4,32.6,22.8
dish_1565811061,chicken; carrot; spinach (raw); broccoli,olive oil; salt; vinegar; mixed greens; mustard,380,269,111,7.8,14.3,6.5,9.1,17.6,8.5,65.8,19.6,46.2
dish_1559844490,grapes; mandarin oranges,,108,124,15,0.5,4.1,3.7,27.5,20.5,6.9,1.4,3.7,2.4
dish_1558720097,carrot,,30,12,18,0.1,-1,1.1,7.4,7,0.4,0.7,-1,1.6
dish_1566851616,caesar salad; broccoli; cheese pizza; olive oil,salt; olive oil; garlic; cheese pizza; pepper,301,385,84,11.6,19.4,7.8,36.1,28.5,7.7,14.5,27.6,13.1
dish_1561662190,salt; brown rice; mixed greens; olive oil; parsley; onions; lemon juice; vinegar; millet; apple,olive oil; salt; vinegar; garlic; onions,117,226,109,4,11.8,7.8,18.4,16.8,1.6,2.4,15,12.6
dish_1565030350,lettuce; mixed greens; lime; salt; cucumbers; onions; olive oil; vinegar; pepper; cherry tomatoes,salt; olive oil; vinegar; mustard; arugula,63,55,8,5.9,2.5,3.4,2.3,6.3,4,0.8,2.4,1.6
dish_1562774129,berries; vinaigrette; granola; blackberries; mixed greens; raspberries,olive oil; salt; vinegar; mustard; garlic,73,71,2,2.9,3.3,0.4,11.3,8.1,3.2,1.5,3.2,1.7
dish_1559849466,pears; almonds,almonds,468,278,190,30.4,14,16.4,44.4,24.6,19.8,14.5,16.9,2.4
dish_1561739212,berries; egg whites; sweet potato,sweet potato,134,220,86,0.3,10,9.7,23.8,22.2,1.6,8.3,12.9,4.6
dish_1563565454,carrot; cherry tomatoes; fish; chard; mushroom; wheat berry; ground turkey; thyme; bok choy; lemon juice; kale; arugula; salt; pecans; blueberries; mustard; eggs; corn on the cob; vinegar; cream; onions; celery; olive oil; parsley; chive; shallots; garlic; white rice,olive oil; salt; garlic; pepper; vinegar,351,202,148,22.7,9.3,13.4,26.6,21,5.6,22.2,11.1,11.2
dish_1561661377,garlic; chard; brown rice; green beans; chicken; salt; carrot; caesar salad; parsley; chive; rosemary; basil; lemon juice; olive oil,salt; olive oil; garlic; lemon juice; onions,306,470,164,9,25.6,16.6,11.9,26.2,14.3,43.7,37.2,6.5
dish_1559233570,strawberries,,17,27,10,0.2,0.3,0.1,4.1,7.2,3.1,0.4,-0.1,0.5
dish_1558113941,mixed greens; almonds,,297,280,16,24.9,14.5,10.4,12.8,22.2,9.4,11.8,18.3,6.5
dish_1558110385,eggs,,53,35,18,3.6,1.4,2.1,0.4,4.8,4.4,4.2,1.2,3
dish_1566850031,olives; carrot; chicken; caesar dressing; cherry tomatoes; onions,egg whites,617,587,30,19.2,32.7,13.5,25.8,27.7,1.9,84.6,49.4,35.3
dish_1562690886,broccoli; olive oil,olive oil; salt,21,50,29,1,2,0.9,2.5,7,4.5,0.9,1.9,1
dish_1563565323,eggs; corn on the cob; ground turkey; thyme; kale; celery; salt; carrot; white rice; mushroom; cream; onions; olive oil; chive; garlic,salt; olive oil; garlic; pepper; onions,230,99,131,10.8,4.3,6.5,21.7,12,9.7,14.4,4.2,10.2
dish_1561739188,berries; sweet potato,olive oil,97,72,25,0.2,2.1,1.9,23.3,12.8,10.5,1.2,1.8,0.6
dish_1564687046,white rice; salt; shallots; olive oil; onions; jalapenos; steak; green beans; bell peppers; millet; cilantro; kale; ketchup; vinegar; spinach (raw); fish; lime,salt; olive oil; garlic; pepper; vinegar,375,392,17,29.1,21.3,7.8,20.5,23.2,2.7,33.7,30,3.6
dish_1563208412,chicken apple sausage,,62,99,37,3.9,4.5,0.6,1.2,12.2,11,5.5,4.1,1.4
dish_1562790775,bell peppers; cucumbers; salt; mustard; garlic; olive oil; vinegar; radishes,olive oil; salt; vinegar; mustard; arugula,76,33,43,7.8,1.4,6.4,1.5,4.3,2.8,0.4,1.3,0.9
dish_1565811139,carrot; goat cheese; olive oil; broccoli; spinach (raw); chicken,olive oil; salt; mixed greens; onions; vinegar,902,491,411,62.6,27,35.6,9.1,25.1,16,74.7,40.1,34.6
dish_1558641164,apple,,80,84,4,0.3,1.8,1.5,21.6,17.9,3.7,0.5,1.1,0.6
dish_1558461607,grapes,,88,58,29,0.3,2.2,2,22.9,8.8,14.1,0.9,1.8,0.9
dish_1559157454,arugula; chard; vinegar; pepper; walnuts; salt; mustard; olive oil; blueberries,,35,23,12,3.3,0.9,2.3,1.1,3.1,2,0.7,0.9,0.2
dish_1561405389,white rice; chickpeas; soy sauce; arugula; ginger; spinach (raw); parsley; pears; broccoli; garlic; salt; pepper; vinegar; green beans; olive oil; lemon juice; green onions; chicken,salt; olive oil; garlic; vinegar; lemon juice,266,300,34,8.4,16.3,7.9,12.1,18,5.9,35,22.7,12.3
dish_1560526514,potatoes; cucumbers; mustard greens; olive oil; almonds; carrot; berries; pineapple; blueberries; parsley; mustard; garlic; salt; tomatoes; spinach (raw); vinegar,olive oil; salt; garlic; vinegar; pepper,183,239,55,8.4,11.6,3.2,26,21.3,4.7,3.4,14.7,11.3
